Year,White,Black,Gray,Silver,Blue,Red,Green,Brown_Beige,Yellow_Gold,Other
1970,14,5,4,5,18,12,16,14,9,3
1971,14,5,4,4,17,12,16,16,9,3
1972,13,5,4,4,16,11,17,18,9,3
1973,13,4,4,4,16,10,17,20,9,3
1974,12,4,4,4,15,10,17,22,9,3
1975,12,4,4,4,14,10,16,24,9,3
1976,13,4,4,4,14,10,16,24,8,3
1977,13,5,4,4,14,11,15,23,8,3
1978,13,6,4,4,14,12,14,22,8,3
1979,14,6,4,5,15,12,13,20,8,3
1980,14,7,4,6,16,13,11,18,7,4
1981,16,8,4,6,16,14,10,16,6,4
1982,15,8,5,7,16,14,9,15,6,5
1983,16,8,5,8,16,14,8,14,6,5
1984,16,9,5,8,15,15,8,13,6,5
1985,15,10,5,8,15,16,8,12,6,5
1986,17,10,5,9,15,16,7,11,5,5
1987,19,10,5,9,14,16,7,10,5,5
1988,19,11,5,9,14,16,7,9,5,5
1989,20,12,5,9,14,16,8,8,4,4
1990,22,12,5,9,13,15,9,7,4,4
1991,23,12,5,9,12,15,10,6,4,4
1992,24,11,5,9,12,15,12,5,3,4
1993,26,10,4,9,11,14,15,4,3,4
1994,25,10,4,9,10,14,18,4,3,3
1995,26,10,4,9,10,13,20,3,2,3
1996,25,10,5,10,10,13,19,3,2,3
1997,24,10,6,12,10,13,16,4,2,3
1998,24,11,6,13,10,13,14,4,2,3
1999,23,12,6,16,10,12,12,4,2,3
2000,21,12,7,20,10,12,9,4,2,3
2001,18,12,8,24,10,12,7,4,2,3
2002,19,13,8,27,9,11,5,4,1,3
2003,20,14,8,28,8,10,4,4,1,3
2004,19,14,9,28,8,10,4,4,1,3
2005,20,14,10,26,8,10,4,4,1,3
2006,21,15,10,25,8,9,3,5,1,3
2007,22,16,10,23,8,9,3,5,1,3
2008,23,16,11,21,8,9,3,5,1,3
2009,26,16,12,20,8,8,2,4,1,3
2010,26,17,13,18,8,8,2,4,1,3
2011,26,18,14,16,8,8,2,4,1,3
2012,29,18,14,15,8,7,2,3,1,3
2013,30,18,14,14,8,7,2,3,1,3
2014,32,19,14,12,8,7,1,3,1,3
2015,34,20,14,12,8,6,1,2,1,2
2016,35,20,14,11,8,6,1,2,1,2
2017,35,20,15,10,8,6,1,2,1,2
2018,37,19,16,10,7,5,1,2,1,2
2019,37,19,16,10,7,5,1,2,1,2
2020,38,19,15,9,7,5,1,2,1,3
2021,37,20,16,9,8,4,1,2,1,2
2022,36,21,16,9,8,4,1,2,1,2
2023,36,22,16,8,8,4,1,2,1,2
2024,35,22,17,8,8,4,1,2,1,2
