country,iso3,year,gdp_per_capita_constant_2015_usd,population_density_per_km2,urbanization_percent,passenger_cars_per_1000,motorization_source
Germany,DEU,1970,18062.7681725054,223.897370606937,79.6627851870384,,
Germany,DEU,1971,18594.4728854164,224.308544095323,79.6968705005988,,
Germany,DEU,1972,19301.5232494296,225.384389768854,79.7310978143457,,
Germany,DEU,1973,20160.0583265478,226.095339844757,79.7625459328083,,
Germany,DEU,1974,20331.5720957886,226.183464612036,79.7913607527508,,
Germany,DEU,1975,20230.6392028525,225.341717984705,79.8176881709377,,
Germany,DEU,1976,21323.1366430529,224.377595737977,79.8416740841331,,
Germany,DEU,1977,22086.8113636946,223.870231718844,79.8634643891014,,
Germany,DEU,1978,22771.1009028119,223.675479047919,79.8832049826069,,
Germany,DEU,1979,23705.7023334262,223.774382035345,79.9010417614138,,
Germany,DEU,1980,23989.8611451039,224.239039899178,79.9171206222865,,
Germany,DEU,1981,24080.1212028372,224.580835218973,79.9315874619892,,
Germany,DEU,1982,24007.8669264184,224.367330220835,79.9445881772863,,
Germany,DEU,1983,24449.3797993273,223.77991579068,79.956268664942,,
Germany,DEU,1984,25226.6224585486,223.007719187695,79.9667748217206,,
Germany,DEU,1985,25871.6378172177,222.50987597743,79.9762525443865,,
Germany,DEU,1986,26451.3009266847,222.611737748117,79.9848477297039,,
Germany,DEU,1987,26781.0162993047,222.953971300089,79.9927062744372,,
Germany,DEU,1988,27665.556776457,223.826709248704,79.9999740753505,,
Germany,DEU,1989,28522.1322159262,225.564354251998,80.0067970292083,,
Germany,DEU,1990,29763.3124657124,227.517053819494,80.0133210327747,,
Germany,DEU,1991,31056.5938822126,229.18080944061,80.0196919828142,,
Germany,DEU,1992,31441.9743477578,230.930020336264,80.026055776091,,
Germany,DEU,1993,30932.0193060317,232.459793194317,80.0325583093694,,
Germany,DEU,1994,31625.3939679554,233.274177193435,80.0393454794137,488.28,OECD/ITF
Germany,DEU,1995,32007.145402934,233.967490690347,80.0465631829882,494.69,OECD/ITF
Germany,DEU,1996,32245.8608379557,234.652470709559,80.0543573168571,500.37,OECD/ITF
Germany,DEU,1997,32795.7833455165,235.022979515829,80.0628737777848,504.32,OECD/ITF
Germany,DEU,1998,33477.9856458764,235.078777720474,80.0722584625357,507.93,OECD/ITF
Germany,DEU,1999,34168.8308210083,235.257731102069,80.0826572678738,515.52,OECD/ITF
Germany,DEU,2000,35104.1308467844,235.596813297034,80.0942160905637,532.43,OECD/ITF
Germany,DEU,2001,35618.5143698493,236.027300085985,80.1070808273695,538.96,OECD/ITF
Germany,DEU,2002,35477.5151544301,236.451570830706,80.1213973750556,541.38,OECD/ITF
Germany,DEU,2003,35270.0227284267,236.616427281328,80.1373116303862,545.51,OECD/ITF
Germany,DEU,2004,35687.6378708542,236.592195429653,80.1549694901257,549.9,OECD/ITF
Germany,DEU,2005,36024.0947047021,236.464680582636,80.1745168510383,558.88,OECD/ITF
Germany,DEU,2006,37459.261328042,236.225197866483,80.1960996098884,565.33,OECD/ITF
Germany,DEU,2007,38593.0749910508,235.943361918146,80.2198636634402,500.61,OECD/ITF
Germany,DEU,2008,39009.8477636357,235.522178240542,80.2459549084581,503.24,OECD/ITF
Germany,DEU,2009,36940.4078672661,234.939637417171,80.2745192417062,509.6,OECD/ITF
Germany,DEU,2010,38526.7371042695,234.606908225034,80.305702559949,517.28,OECD/ITF
Germany,DEU,2011,40722.4849268242,230.304633348634,80.3405762928198,534.76,OECD/ITF
Germany,DEU,2012,40834.5088218456,230.750625466231,80.393447520218,540.01,OECD/ITF
Germany,DEU,2013,40884.8926759028,231.155712565925,80.4732318400362,543.75,OECD/ITF
Germany,DEU,2014,41602.4661281668,232.108053883634,80.57574023743,548.31,OECD/ITF
Germany,DEU,2015,41929.7549110722,234.152986871524,80.6974371632814,551.76,OECD/ITF
Germany,DEU,2016,42516.9337063103,235.712929356538,80.8347870684725,556.21,OECD/ITF
Germany,DEU,2017,43543.4807050551,236.588722557747,80.9842544038853,562.26,OECD/ITF
Germany,DEU,2018,43905.8550061973,237.294012250272,81.1423036204018,568.06,OECD/ITF
Germany,DEU,2019,44235.2658954682,237.822954291766,81.3053991689039,574.25,OECD/ITF
Germany,DEU,2020,42372.8726784255,238.017318755545,81.4700055002738,580.18,OECD/ITF
Germany,DEU,2021,44011.0194631674,238.118085806692,81.6325870653934,583.45,OECD/ITF
Germany,DEU,2022,44817.1316331389,238.086252003664,81.7867852780995,586.25,OECD/ITF
Germany,DEU,2023,44368.9920074881,238.351810090719,81.9034366692129,589.51,OECD/ITF
Germany,DEU,2024,44027.7631554469,,82.0211432579125,590.77,OECD/ITF
France,FRA,1970,17116.859268108,96.4972056777066,71.3599779089291,,
France,FRA,1971,17853.8971347786,97.4108043417757,71.875132564358,,
France,FRA,1972,18496.7852509799,98.2695166527507,72.3147256282583,,
France,FRA,1973,19484.4620579649,99.0670025048706,72.6612390105508,,
France,FRA,1974,20210.490760679,99.7245959736525,72.897154621156,,
France,FRA,1975,19924.3722074097,100.20011689396,73.0141655469367,,
France,FRA,1976,20700.6186231805,100.626000556638,73.0820015754495,,
France,FRA,1977,21336.3877815302,101.097443176547,73.1339199821614,,
France,FRA,1978,22078.7228161384,101.556786343817,73.1746727920795,,
France,FRA,1979,22792.2359498683,102.012897300306,73.2106388615716,,
France,FRA,1980,23050.9255953042,102.559020317284,73.2481970470056,,
France,FRA,1981,23186.7612665684,103.169780128027,73.2937262047492,,
France,FRA,1982,23666.5121788084,103.54724742555,73.3522531908044,,
France,FRA,1983,23836.4018927227,104.106744595974,73.4180335490284,,
France,FRA,1984,24102.0176176027,104.616541423138,73.487468496869,,
France,FRA,1985,24358.1382748825,105.140771871231,73.5623571560102,,
France,FRA,1986,24813.0302579158,105.679565822433,73.6440191686816,,
France,FRA,1987,25308.620924146,106.255064477224,73.7337741771127,,
France,FRA,1988,26374.1221811161,106.871112348084,73.8329418235332,,
France,FRA,1989,27372.0534763161,107.51101586418,73.9428417501728,,
France,FRA,1990,27992.9751471374,108.10095927266,74.0675966432025,,
France,FRA,1991,28197.2359540607,108.645035717599,74.2197862924166,,
France,FRA,1992,28482.5194675509,109.187464514333,74.4051122960444,,
France,FRA,1993,28257.0962487817,109.663408479451,74.6168782336776,,
France,FRA,1994,28822.5006495069,110.074891919473,74.8499283532348,401.52,OECD/ITF
France,FRA,1995,29379.6158424052,110.476470915669,75.0991069026347,406.61,OECD/ITF
France,FRA,1996,29683.7786067651,110.872073476204,75.3592581297959,410.68,OECD/ITF
France,FRA,1997,30325.522871824,111.268329158549,75.6252262826369,417.22,OECD/ITF
France,FRA,1998,31256.5073830655,111.681387883848,75.8918556090764,433.46,OECD/ITF
France,FRA,1999,32152.7207478734,112.258996196308,76.1682703613968,443.13,OECD/ITF
France,FRA,2000,33255.1379642335,113.032119862696,76.5143983146093,455.85,OECD/ITF
France,FRA,2001,33640.6738002565,113.859127933946,76.9074413607811,462.48,OECD/ITF
France,FRA,2002,33753.5782979758,114.6899378421,77.2543866607525,468.03,OECD/ITF
France,FRA,2003,33840.6175720101,115.50209666945,77.4691216035138,471.65,OECD/ITF
France,FRA,2004,34557.1471111581,116.351401799796,77.4900500011961,474.11,OECD/ITF
France,FRA,2005,34946.0372494703,117.229527785509,77.4363315105438,474.83,OECD/ITF
